Date,Open,High,Low,Close,Volume,OI
1975-08-20,98.19,98.19,98.19,98.19,219160,0
1975-08-21,98.87,98.87,98.87,98.87,250560,0
1975-08-22,98.64,98.64,98.64,98.64,23630,0
1975-08-25,98.65,98.65,98.65,98.65,41060,0
1975-08-26,98.53,98.53,98.53,98.53,71790,0
1975-08-27,98.52,98.52,98.52,98.52,36920,0
1975-08-28,98.53,98.53,98.53,98.53,168920,0
1975-08-29,98.39,98.39,98.39,98.39,78600,0
1975-09-01,98.37,98.37,98.37,98.37,65400,0
1975-09-02,98.37,98.37,98.37,98.37,166630,0
1975-09-03,98.11,98.11,98.11,98.11,117990,0
1975-09-04,96.86,96.86,96.86,96.86,155200,0
1975-09-05,96.74,96.74,96.74,96.74,182980,0
1975-09-08,96.75,96.75,96.75,96.75,79110,0
1975-09-09,95.89,95.89,95.89,95.89,138360,0
1975-09-10,95.12,95.12,95.12,95.12,199940,0
1975-09-11,95.28,95.28,95.28,95.28,135540,0
1975-09-12,94.53,94.53,94.53,94.53,161400,0
1975-09-15,94.16,94.16,94.16,94.16,130000,0
1975-09-16,92.67,92.67,92.67,92.67,182510,0
1975-09-17,92.64,92.64,92.64,92.64,70400,0
1975-09-18,93.15,93.15,93.15,93.15,59000,0
1975-09-19,92.97,92.97,92.97,92.97,111000,0
1975-09-22,93.34,93.34,93.34,93.34,71400,0
1975-09-23,92.48,92.48,92.48,92.48,87000,0
1975-09-24,92.23,92.23,92.23,92.23,82000,0
1975-09-25,92.23,92.23,92.23,92.23,58270,0
1975-09-26,92.47,92.47,92.47,92.47,195250,0
1975-09-29,92.47,92.47,92.47,92.47,65550,0
1975-09-30,92.1,92.1,92.1,92.1,80840,0
1975-10-01,91.11,91.11,91.11,91.11,104500,0
1975-10-02,91.48,91.48,91.48,91.48,63460,0
1975-10-03,91.79,91.79,91.79,91.79,42780,0
1975-10-06,91.65,91.65,91.65,91.65,122280,0
1975-10-07,89.26,89.26,89.26,89.26,58220,0
1975-10-08,91.28,91.28,91.28,91.28,84780,0
1975-10-09,91.4,91.4,91.4,91.4,77130,0
1975-10-10,91.11,91.11,91.11,91.11,153790,0
1975-10-13,91.48,91.48,91.48,91.48,82350,0
1975-10-14,92.33,92.33,92.33,92.33,152850,0
1975-10-15,92.82,92.82,92.82,92.82,129760,0
1975-10-16,92.32,92.32,92.32,92.32,128220,0
1975-10-17,91.58,91.58,91.58,91.58,84720,0
1975-10-20,91.11,91.11,91.11,91.11,47000,0
1975-10-21,91.11,91.11,91.11,91.11,128550,0
1975-10-22,91.48,91.48,91.48,91.48,18100,0
1975-10-24,91.85,91.85,91.85,91.85,25550,0
1975-10-27,90.99,90.99,90.99,90.99,24270,0
1975-10-28,91.35,91.35,91.35,91.35,52640,0
1975-10-29,91.35,91.35,91.35,91.35,127830,0
1975-10-30,90.73,90.73,90.73,90.73,72860,0
1975-10-31,91.1,91.1,91.1,91.1,80000,0
1975-11-03,90.71,90.71,90.71,90.71,612910,0
1975-11-04,90.46,90.46,90.46,90.46,103640,0
